Order ID,Customer Name,Company,Order Region,Order State,Order City,Category Name,Department Name,Product Name,Order Item Quantity,Order Item Discount,Product Price,Order Item Total,Sales,order date (DateOrders),delivery date (Date),Days for shipment (scheduled),Days for shipping (real),Shipping Mode,Delivery Status,Late_delivery_risk
IND-100054,Divya Kumar,Aditya Birla Fashion,South,Gujarat,Vadodara,Automotive,Accessories,Floor Mat,5,0.15,6974.94,29643.49,29643.49,2024-11-01,2024-11-09,6,8,Two Day,Delivered,1
IND-100055,Sneha Iyer,Mahindra & Mahindra,Central,Telangana,Nizamabad,Electronics,Computers,Laptop Model Y,13,0.25,33955.91,331070.12,331070.12,2025-09-11,2025-09-13,3,2,Express,Out for Delivery,0
IND-100056,Divya Nambiar,Dmart,West,Gujarat,Ahmedabad,Apparel,Kids,Kids Shorts,1,0.15,2195.09,1865.83,1865.83,2025-09-14,2025-09-22,3,8,Same Day,Delivered,1
IND-100057,Suresh Iyer,Dmart,West,Gujarat,Vadodara,Furniture,Bedroom,Queen Bed,20,0.25,6899.98,103499.7,103499.7,2025-10-14,2025-10-18,5,4,Two Day,Delivered,0
IND-100058,Raj Kumar,Amazon India,West,West Bengal,Kolkata,Electronics,Computers,Laptop Model X,10,0.15,31884.75,271020.38,271020.38,2024-04-11,2024-04-15,4,4,Express,Delivered,0
IND-100059,Vivek Reddy,ITC Limited,West,Madhya Pradesh,Indore,Books,Fiction,Novel A,15,0.15,1949.92,24861.48,24861.48,2024-08-01,2024-08-04,1,3,Same Day,Delayed,1
IND-100060,Raj Joshi,ITC Limited,North,West Bengal,Siliguri,Beauty & Personal Care,Haircare,Conditioner 200ml,10,0.15,677.73,5760.7,5760.7,2025-03-22,2025-03-25,2,3,Overnight,Delivered,1
IND-100061,Ravi Kapoor,Aditya Birla Fashion,South,Maharashtra,Nashik,Electronics,TV & Audio,Soundbar 2.1,10,0.05,63180.57,600215.41,600215.41,2025-07-27,2025-08-02,6,6,Overnight,In Transit,0
IND-100062,Karan Nambiar,Aditya Birla Fashion,Central,Karnataka,Bengaluru,Electronics,TV & Audio,Soundbar 2.1,5,0.1,11760.0,52920.0,52920.0,2024-10-13,2024-10-23,7,10,Overnight,Delivered,1
IND-100063,Amit Singh,Dmart,West,Rajasthan,Udaipur,Books,Education,Science Workbook,4,0.0,1458.16,5832.64,5832.64,2024-04-06,2024-04-12,4,6,Overnight,Delivered,1
IND-100064,Suresh Sharma,Aditya Birla Fashion,Central,Kerala,Kochi,Books,Education,Science Workbook,19,0.25,1204.97,17170.82,17170.82,2024-11-28,2024-12-02,2,4,Standard,Delivered,1
IND-100065,Vivek Nambiar,Tata Electronics,East,Telangana,Nizamabad,Automotive,Accessories,Car Seat Cover,5,0.0,1157.53,5787.65,5787.65,2024-09-20,2024-10-02,8,12,Overnight,Delayed,1
IND-100066,Asha Mehta,Flipkart,South,West Bengal,Siliguri,Groceries,Dairy,Milk Powder 1kg,14,0.15,3291.86,39173.13,39173.13,2025-08-05,2025-08-13,7,8,Standard,Delivered,1
IND-100067,Divya Gupta,Wipro Ltd.,West,West Bengal,Siliguri,Apparel,Kids,Kids Shorts,18,0.25,2714.92,36651.42,36651.42,2024-11-15,2024-11-16,1,1,Standard,In Transit,0
IND-100068,Neha Kumar,Flipkart,South,Telangana,Nizamabad,Electronics,Computers,Laptop Model X,5,0.05,64023.36,304110.96,304110.96,2024-01-23,2024-02-01,9,9,Express,In Transit,0
IND-100069,Divya Patel,Aditya Birla Fashion,West,Madhya Pradesh,Bhopal,Home Appliances,Large Appliances,Refrigerator 260L,4,0.0,33730.77,134923.08,134923.08,2024-03-27,2024-03-28,1,1,Overnight,In Transit,0
IND-100070,Amit Mehta,Reliance Retail,Central,Tamil Nadu,Madurai,Beauty & Personal Care,Skincare,Face Cream 50ml,16,0.1,1400.0,20160.0,20160.0,2025-04-22,2025-05-11,10,19,Express,Delayed,1
IND-100071,Ravi Kumar,Flipkart,North,Delhi,New Delhi,Books,Education,Science Workbook,4,0.15,1521.78,5174.05,5174.05,2024-01-28,2024-01-30,2,2,Standard,Delivered,0
IND-100072,Suresh Mehta,ITC Limited,South,Madhya Pradesh,Gwalior,Furniture,Bedroom,Wardrobe,15,0.15,31816.41,405659.23,405659.23,2024-02-23,2024-02-25,2,2,Two Day,In Transit,0
IND-100073,Pooja Iyer,Dmart,West,Kerala,Thiruvananthapuram,Beauty & Personal Care,Skincare,Sunscreen 100ml,14,0.1,1006.32,12679.63,12679.63,2024-12-01,2024-12-06,3,5,Standard,Delayed,1
IND-100074,Asha Mehta,Tata Electronics,Central,Karnataka,Mangalore,Furniture,Living Room,Sofa 3-seater,19,0.2,57527.6,874419.52,874419.52,2024-10-16,2024-10-20,2,4,Standard,Delivered,1
IND-100075,Neha Bose,Tata Electronics,East,Delhi,New Delhi,FMCG,Beverages,Coffee Jar 200g,8,0.1,4244.01,30556.87,30556.87,2025-06-05,2025-06-16,6,11,Overnight,Delayed,1
IND-100076,Vivek Joshi,ITC Limited,East,Rajasthan,Jodhpur,Groceries,Staples,Wheat Flour 10kg,1,0.25,943.06,707.29,707.29,2024-09-25,2024-10-01,6,6,Express,Out for Delivery,0
IND-100077,Vivek Kumar,Amazon India,West,Karnataka,Mysuru,Apparel,Kids,Kids T-Shirt,13,0.1,1317.51,15414.87,15414.87,2024-04-23,2024-04-30,6,7,Overnight,Delayed,1
IND-100078,Neha Kumar,BigBasket,West,Tamil Nadu,Coimbatore,Apparel,Women,Saree,14,0.15,1508.42,17950.2,17950.2,2025-01-11,2025-01-15,5,4,Same Day,In Transit,0
IND-100079,Vivek Singh,Hindustan Unilever,West,Delhi,New Delhi,Electronics,Mobiles,Smartphone Model B,20,0.05,9108.65,173064.35,173064.35,2024-09-17,2024-09-22,4,5,Same Day,Delivered,1
IND-100080,Vikram Patel,Amazon India,East,Maharashtra,Nashik,Home Appliances,Large Appliances,Refrigerator 260L,17,0.25,28818.73,367438.81,367438.81,2024-11-10,2024-11-11,2,1,Two Day,Delivered,0
IND-100081,Vikram Kapoor,ITC Limited,West,Karnataka,Hubballi,Beauty & Personal Care,Haircare,Conditioner 200ml,4,0.1,1274.59,4588.52,4588.52,2024-05-07,2024-05-18,10,11,Standard,Delivered,1
IND-100082,Vikram Bose,ITC Limited,South,Telangana,Warangal,Apparel,Women,Saree,11,0.05,742.56,7759.75,7759.75,2024-01-31,2024-02-09,9,9,Same Day,In Transit,0
IND-100083,Raj Reddy,Infosys Ltd.,North,Telangana,Hyderabad,Home Appliances,Kitchen Appliances,Mixer Grinder,6,0.25,47662.02,214479.09,214479.09,2025-04-02,2025-04-12,8,10,Overnight,Delivered,1
IND-100084,Pooja Nambiar,Tata Electronics,West,Tamil Nadu,Tiruchirappalli,Automotive,Accessories,Car Seat Cover,12,0.1,7856.38,84848.9,84848.9,2025-02-28,2025-03-14,8,14,Same Day,Delayed,1
IND-100085,Vikram Nambiar,Hindustan Unilever,North,Madhya Pradesh,Gwalior,Kitchen,Cookware,Pressure Cooker,19,0.1,3276.6,56029.86,56029.86,2025-07-25,2025-08-01,8,7,Two Day,Delivered,0
IND-100086,Sneha Mehta,Reliance Retail,North,Karnataka,Mysuru,Books,Education,Math Textbook,12,0.1,1181.27,12757.72,12757.72,2024-12-14,2024-12-20,7,6,Same Day,Delivered,0
IND-100087,Raj Mehta,Aditya Birla Fashion,North,Karnataka,Mangalore,Kitchen,Cookware,Pressure Cooker,3,0.05,2934.56,8363.5,8363.5,2024-11-06,2024-11-13,5,7,Express,Delayed,1
IND-100088,Karan Gupta,Flipkart,South,Rajasthan,Udaipur,Home Appliances,Kitchen Appliances,Electric Kettle,17,0.1,19367.75,296326.58,296326.58,2024-09-25,2024-09-29,3,4,Two Day,Delayed,1
IND-100089,Raj Sharma,Tata Electronics,West,Tamil Nadu,Coimbatore,Groceries,Staples,Wheat Flour 10kg,20,0.15,698.69,11877.73,11877.73,2024-04-19,2024-05-02,3,13,Express,Delivered,1
IND-100090,Asha Reddy,Flipkart,East,Kerala,Thiruvananthapuram,Books,Education,Science Workbook,8,0.1,1648.63,11870.14,11870.14,2025-03-08,2025-03-14,4,6,Two Day,Delivered,1
IND-100091,Amit Reddy,Mahindra & Mahindra,South,Rajasthan,Jodhpur,Kitchen,Cookware,Pressure Cooker,2,0.1,3223.84,5802.91,5802.91,2025-06-03,2025-06-04,2,1,Same Day,Delivered,0
IND-100092,Suresh Patel,Spencers,West,Delhi,New Delhi,Beauty & Personal Care,Skincare,Face Cream 50ml,15,0.0,2665.43,39981.45,39981.45,2025-01-11,2025-01-13,1,2,Express,Delivered,1
IND-100093,Anjali Sharma,Reliance Retail,West,Gujarat,Ahmedabad,Furniture,Living Room,Sofa 3-seater,2,0.15,19352.13,32898.62,32898.62,2025-10-26,2025-10-31,3,5,Two Day,Delayed,1
IND-100094,Divya Patel,Wipro Ltd.,East,Maharashtra,Nagpur,Groceries,Dairy,Milk Powder 1kg,10,0.0,1226.32,12263.2,12263.2,2024-01-01,2024-01-07,4,6,Standard,Delayed,1
IND-100095,Vivek Bose,Reliance Retail,North,Madhya Pradesh,Gwalior,Kitchen,Cookware,Non-stick Pan,10,0.2,2174.73,17397.84,17397.84,2024-11-09,2024-11-13,4,4,Standard,Out for Delivery,0
IND-100096,Divya Nambiar,Mahindra & Mahindra,North,Karnataka,Bengaluru,Electronics,TV & Audio,Soundbar 2.1,12,0.0,24023.77,288285.24,288285.24,2024-11-13,2024-11-14,2,1,Overnight,Out for Delivery,0
IND-100097,Suresh Gupta,Godrej Consumer,North,Tamil Nadu,Chennai,Home Appliances,Large Appliances,Washing Machine 7kg,6,0.0,40951.89,245711.34,245711.34,2025-02-24,2025-02-25,1,1,Express,Delivered,0
IND-100098,Suresh Nambiar,Dmart,East,Delhi,New Delhi,Automotive,Spare Parts,Car Brake Pad,10,0.0,5676.13,56761.3,56761.3,2025-09-15,2025-09-22,6,7,Two Day,Delivered,1
IND-100099,Pooja Mehta,Infosys Ltd.,North,Kerala,Thiruvananthapuram,Books,Education,Science Workbook,3,0.0,2208.54,6625.62,6625.62,2025-01-27,2025-02-06,10,10,Overnight,In Transit,0
IND-100100,Vivek Singh,Godrej Consumer,North,Karnataka,Bengaluru,Automotive,Accessories,Floor Mat,6,0.1,10501.59,56708.59,56708.59,2025-02-13,2025-02-15,1,2,Overnight,Delivered,1
IND-100101,Vivek Iyer,Flipkart,East,Maharashtra,Mumbai,Furniture,Living Room,Sofa 3-seater,5,0.25,51374.15,192653.06,192653.06,2025-02-04,2025-02-09,1,5,Same Day,Delivered,1
IND-100102,Amit Joshi,ITC Limited,West,Madhya Pradesh,Bhopal,Books,Education,Science Workbook,15,0.2,2312.94,27755.28,27755.28,2024-04-02,2024-04-12,9,10,Same Day,Delayed,1
IND-100103,Suresh Iyer,Marico Ltd.,South,Maharashtra,Pune,Groceries,Staples,Wheat Flour 10kg,9,0.05,3534.99,30224.16,30224.16,2025-08-01,2025-08-08,5,7,Express,Delayed,1
IND-100104,Asha Nambiar,Infosys Ltd.,Central,Karnataka,Mangalore,Apparel,Kids,Kids Shorts,12,0.2,2157.67,20713.63,20713.63,2025-05-22,2025-05-27,5,5,Express,In Transit,0
IND-100105,Karan Patel,Wipro Ltd.,East,Telangana,Hyderabad,FMCG,Snacks,Potato Chips 150g,12,0.1,2792.41,30158.03,30158.03,2025-03-06,2025-03-17,9,11,Standard,Delivered,1
IND-100106,Karan Iyer,Mahindra & Mahindra,Central,West Bengal,Howrah,Kitchen,Cookware,Non-stick Pan,11,0.15,3229.58,30196.57,30196.57,2025-03-05,2025-03-14,9,9,Express,In Transit,0
IND-100107,Amit Singh,Hindustan Unilever,Central,Maharashtra,Mumbai,Home Appliances,Kitchen Appliances,Electric Kettle,8,0.2,18609.11,119098.3,119098.3,2024-08-30,2024-09-02,2,3,Express,Delivered,1
IND-100108,Vivek Patel,Hindustan Unilever,Central,Rajasthan,Jaipur,Kitchen,Cookware,Non-stick Pan,20,0.2,3617.13,57874.08,57874.08,2024-10-24,2024-11-04,10,11,Standard,Delayed,1
IND-100109,Neha Iyer,BigBasket,West,Delhi,New Delhi,Kitchen,Cookware,Pressure Cooker,18,0.1,1483.87,24038.69,24038.69,2025-03-22,2025-03-28,4,6,Same Day,Delivered,1
IND-100110,Vikram Nambiar,Marico Ltd.,Central,Maharashtra,Pune,Books,Fiction,Novel B,20,0.25,516.64,7749.6,7749.6,2024-10-05,2024-10-11,6,6,Same Day,Out for Delivery,0
IND-100111,Pooja Sharma,Wipro Ltd.,North,Karnataka,Hubballi,Automotive,Accessories,Car Seat Cover,5,0.1,1903.77,8566.97,8566.97,2024-12-11,2024-12-21,10,10,Same Day,Out for Delivery,0
IND-100112,Suresh Nambiar,Marico Ltd.,West,Telangana,Hyderabad,Books,Education,Science Workbook,1,0.15,361.14,306.97,306.97,2025-04-14,2025-04-22,8,8,Overnight,In Transit,0
IND-100113,Neha Joshi,Marico Ltd.,North,Maharashtra,Nagpur,Books,Education,Math Textbook,4,0.1,1349.69,4858.88,4858.88,2024-11-22,2024-12-01,7,9,Standard,Delayed,1
IND-100114,Vikram Bose,Tata Electronics,Central,Rajasthan,Udaipur,Books,Education,Math Textbook,5,0.15,2927.74,12442.89,12442.89,2024-11-30,2024-12-07,6,7,Express,Delayed,1
IND-100115,Ravi Kumar,Hindustan Unilever,North,Rajasthan,Udaipur,Electronics,Mobiles,Smartphone Model C,11,0.2,65297.44,574617.47,574617.47,2025-02-23,2025-02-26,3,3,Same Day,Out for Delivery,0
IND-100116,Asha Singh,ITC Limited,West,Tamil Nadu,Tiruchirappalli,Kitchen,Storage,Glass Jar 1L,19,0.0,1533.96,29145.24,29145.24,2024-11-25,2024-12-03,6,8,Overnight,Delivered,1
IND-100117,Vivek Kapoor,Aditya Birla Fashion,West,Madhya Pradesh,Indore,Kitchen,Cookware,Non-stick Pan,19,0.2,2428.22,36908.94,36908.94,2025-08-19,2025-08-31,10,12,Express,Delayed,1
IND-100118,Sneha Kumar,Tata Electronics,Central,Madhya Pradesh,Gwalior,Books,Education,Science Workbook,5,0.05,1297.58,6163.5,6163.5,2025-01-07,2025-01-18,9,11,Standard,Delayed,1
IND-100119,Vivek Nambiar,Godrej Consumer,South,Telangana,Nizamabad,Groceries,Dairy,Cheese 200g,6,0.2,2325.33,11161.58,11161.58,2024-10-29,2024-11-08,9,10,Overnight,Delivered,1
IND-100120,Raj Reddy,Hindustan Unilever,South,Telangana,Warangal,Automotive,Accessories,Car Seat Cover,16,0.1,5097.09,73398.1,73398.1,2025-06-09,2025-06-16,5,7,Two Day,Delivered,1
IND-100121,Asha Sharma,Aditya Birla Fashion,Central,Delhi,New Delhi,Furniture,Bedroom,Wardrobe,16,0.2,15197.25,194524.8,194524.8,2024-08-17,2024-08-26,9,9,Standard,Out for Delivery,0
IND-100122,Vivek Bose,Reliance Retail,South,Telangana,Hyderabad,FMCG,Beverages,Tea Pack 1kg,4,0.25,2095.84,6287.52,6287.52,2025-03-11,2025-03-13,2,2,Standard,Out for Delivery,0
IND-100123,Pooja Nambiar,Spencers,South,Kerala,Kozhikode,FMCG,Snacks,Biscuits Pack,10,0.0,3247.19,32471.9,32471.9,2025-09-11,2025-09-20,10,9,Express,In Transit,0
IND-100124,Pooja Patel,BigBasket,North,Maharashtra,Nashik,Automotive,Spare Parts,Car Brake Pad,10,0.0,8735.45,87354.5,87354.5,2024-10-22,2024-10-29,5,7,Express,Delivered,1
IND-100125,Amit Mehta,Godrej Consumer,West,Telangana,Hyderabad,Books,Education,Math Textbook,1,0.1,2236.19,2012.57,2012.57,2025-06-17,2025-06-28,4,11,Two Day,Delivered,1
IND-100126,Amit Patel,Tata Electronics,North,Kerala,Kozhikode,Books,Education,Math Textbook,1,0.05,856.28,813.47,813.47,2025-02-13,2025-02-19,5,6,Overnight,Delayed,1
